2019-09-26T08:33:59.16949416Z {"component":"virt-handler","hostname":"host-172-16-0-15","level":"info","pos":"virt-handler.go:187","timestamp":"2019-09-26T08:33:59.169366Z"}
2019-09-26T08:34:09.973165429Z {"component":"virt-handler","level":"info","msg":"Starting collector: node name=host-172-16-0-15","pos":"prometheus.go:395","timestamp":"2019-09-26T08:34:09.973082Z"}
2019-09-26T08:34:09.973207292Z {"component":"virt-handler","level":"info","msg":"STARTING informer vmiInformer","pos":"virtinformers.go:203","timestamp":"2019-09-26T08:34:09.973175Z"}
2019-09-26T08:34:09.973207292Z {"component":"virt-handler","level":"info","msg":"STARTING informer configMapInformer","pos":"virtinformers.go:203","timestamp":"2019-09-26T08:34:09.973196Z"}
2019-09-26T08:34:09.973219518Z {"component":"virt-handler","level":"info","msg":"STARTING informer CRDInformer","pos":"virtinformers.go:203","timestamp":"2019-09-26T08:34:09.973207Z"}
2019-09-26T08:34:10.073895199Z {"component":"virt-handler","level":"info","msg":"Starting virt-handler controller.","pos":"vm.go:516","timestamp":"2019-09-26T08:34:10.073405Z"}
2019-09-26T08:34:10.073895199Z {"component":"virt-handler","level":"info","msg":"metrics: max concurrent requests=3","pos":"virt-handler.go:341","timestamp":"2019-09-26T08:34:10.073503Z"}
2019-09-26T08:34:10.174041804Z {"component":"virt-handler","level":"info","msg":"Starting device plugin controller","pos":"device_controller.go:92","timestamp":"2019-09-26T08:34:10.173674Z"}
2019-09-26T08:34:10.247560616Z {"component":"virt-handler","level":"info","msg":"kvm device plugin started","pos":"generic_device.go:156","timestamp":"2019-09-26T08:34:10.247279Z"}
2019-09-26T08:34:10.247560616Z {"component":"virt-handler","level":"info","msg":"tun device plugin started","pos":"generic_device.go:156","timestamp":"2019-09-26T08:34:10.247319Z"}
2019-09-26T08:34:10.247560616Z {"component":"virt-handler","level":"info","msg":"vhost-net device plugin started","pos":"generic_device.go:156","timestamp":"2019-09-26T08:34:10.247331Z"}
2019-09-26T08:34:10.292962225Z {"component":"virt-handler","level":"info","msg":"Updating cluster config to resource version '19601'","pos":"config-map.go:400","timestamp":"2019-09-26T08:34:10.292409Z"}
2019-09-26T08:34:24.201482119Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:34:24.201398Z"}
2019-09-26T08:34:54.199673816Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:34:54.198932Z"}
2019-09-26T08:35:24.19013551Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:35:24.190062Z"}
2019-09-26T08:35:54.190065359Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:35:54.189962Z"}
2019-09-26T08:36:24.193938352Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:36:24.193460Z"}
2019-09-26T08:36:54.192979408Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:36:54.192168Z"}
2019-09-26T08:37:12.466300618Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:37:12.466230Z"}
2019-09-26T08:37:24.189687599Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:37:24.189621Z"}
2019-09-26T08:37:42.460532305Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:37:42.460428Z"}
2019-09-26T08:37:54.188935922Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:37:54.188562Z"}
2019-09-26T08:38:12.460941031Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:38:12.460330Z"}
2019-09-26T08:38:24.195241986Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:38:24.195160Z"}
2019-09-26T08:38:42.459930469Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:38:42.459865Z"}
2019-09-26T08:38:54.193141838Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:38:54.193036Z"}
2019-09-26T08:39:12.459578492Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:39:12.459484Z"}
2019-09-26T08:39:24.190128888Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:39:24.190029Z"}
2019-09-26T08:39:42.458863235Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:39:42.458770Z"}
2019-09-26T08:39:54.19028786Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:39:54.190196Z"}
2019-09-26T08:40:12.460938493Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:40:12.460232Z"}
2019-09-26T08:40:24.189187083Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:40:24.189099Z"}
2019-09-26T08:40:42.459942678Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:40:42.459482Z"}
2019-09-26T08:40:54.192617037Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:40:54.192543Z"}
2019-09-26T08:41:12.459969564Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:41:12.459106Z"}
2019-09-26T08:41:24.187266692Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:41:24.187164Z"}
2019-09-26T08:41:42.46201242Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:41:42.461082Z"}
2019-09-26T08:41:54.187393369Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:41:54.187325Z"}
2019-09-26T08:42:12.458171063Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:12.458100Z"}
2019-09-26T08:42:24.189045508Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:24.188947Z"}
2019-09-26T08:42:42.458816442Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:42.458739Z"}
2019-09-26T08:42:54.189655317Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:54.189584Z"}
2019-09-26T08:43:12.46054537Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:12.460476Z"}
2019-09-26T08:43:24.190249133Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:24.190176Z"}
2019-09-26T08:43:42.459759601Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:42.459668Z"}
2019-09-26T08:43:54.189958713Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:54.189869Z"}
2019-09-26T08:44:12.474331955Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:12.474228Z"}
2019-09-26T08:44:24.187699878Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:24.187628Z"}
2019-09-26T08:44:42.459895998Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:42.459816Z"}
2019-09-26T08:44:54.188057882Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:54.187969Z"}
